,Pick,Years After Draft,variable,NHL Probability,Star Probability
455,27,13,Estimate,,
456,27,14,Estimate,,
457,27,15,Estimate,,
458,27,16,Estimate,,
459,28,0,Estimate,0.04835953459392702,0.005085462231207077
460,28,1,Estimate,0.15593213349986235,0.016804256335829684
461,28,2,Estimate,0.2823056219122163,0.03182558313612323
462,28,3,Estimate,0.40791244513932645,0.04730037193752487
463,28,4,Estimate,0.498624246200493,0.06454896753042635
464,28,5,Estimate,0.5271315994033565,0.08546245014519711
465,28,6,Estimate,0.5027566871018235,0.1038517440023837
466,28,7,Estimate,0.4644173379562506,0.11319791887718114
467,28,8,Estimate,0.4335227986967335,0.11397776572390862
468,28,9,Estimate,0.4081256466330759,0.10486218410503612
469,28,10,Estimate,0.3869623879090298,0.08926273404264931
470,28,11,Estimate,0.3702150535915425,0.07756906904735236
471,28,12,Estimate,0.35039952556716936,0.06211306265295824
472,28,13,Estimate,,
473,28,14,Estimate,,
474,28,15,Estimate,,
475,28,16,Estimate,,
476,29,0,Estimate,0.046585867749817766,0.0051105749748715755
477,29,1,Estimate,0.14739420827270203,0.01584941768037848
478,29,2,Estimate,0.2691791951219301,0.02979874055232464
479,29,3,Estimate,0.39441087463046554,0.04458539623034103
480,29,4,Estimate,0.48696290584851165,0.0611233705493828
481,29,5,Estimate,0.516320345236178,0.0806692337251142
482,29,6,Estimate,0.4910500304807834,0.09681222827085689
483,29,7,Estimate,0.4498284168576429,0.10441263604479487
484,29,8,Estimate,0.41603191177036647,0.10519315044301805
485,29,9,Estimate,0.3883367558251152,0.0969332061342086
486,29,10,Estimate,0.36504507216446536,0.08295735112365278
487,29,11,Estimate,0.34673182999847496,0.07358942093101875
488,29,12,Estimate,0.326567226626155,0.060225116052103754
489,29,13,Estimate,,
490,29,14,Estimate,,
491,29,15,Estimate,,
492,29,16,Estimate,,
493,30,0,Estimate,0.04482572490770717,0.005099143235643825
494,30,1,Estimate,0.14046574322937513,0.015166540440424918
495,30,2,Estimate,0.25836258845351406,0.028423226587941094
496,30,3,Estimate,0.38204464785967934,0.04279066877279437
497,30,4,Estimate,0.474966392856772,0.058590951541193696
498,30,5,Estimate,0.5052460910899484,0.07655148739844841
499,30,6,Estimate,0.4801878981365434,0.09042275424502705
500,30,7,Estimate,0.4371114653306457,0.09630005019544746
501,30,8,Estimate,0.40083656027368086,0.09668459940984205
502,30,9,Estimate,0.3704978879084374,0.08871176726258867
503,30,10,Estimate,0.3447430799198399,0.07584270431979315
504,30,11,Estimate,0.3248013989591434,0.06862226194683882
505,30,12,Estimate,0.30430163186493886,0.05775769603963009
506,30,13,Estimate,,
507,30,14,Estimate,,
508,30,15,Estimate,,
509,30,16,Estimate,,
510,31,0,Estimate,0.04336457944244689,0.005038840685902577
511,31,1,Estimate,0.1354548633392246,0.01476411807612567
512,31,2,Estimate,0.25006434627698176,0.02771113240230272
513,31,3,Estimate,0.3709184233915146,0.041944952762058875
514,31,4,Estimate,0.4626722091391992,0.057213114757300454
515,31,5,Estimate,0.49385439293101274,0.07381476092914102
516,31,6,Estimate,0.47012981370271434,0.08578052975560728
517,31,7,Estimate,0.42654503744975625,0.09002320405353222
518,31,8,Estimate,0.3886019615060113,0.08946840403590754
519,31,9,Estimate,0.35581495656921724,0.08126699660375508
520,31,10,Estimate,0.3280221635306979,0.06915754451014229
521,31,11,Estimate,0.3070549507389039,0.06365295707901025
522,31,12,Estimate,0.28661182319864476,0.055003056911313554
523,31,13,Estimate,,
524,31,14,Estimate,,
525,31,15,Estimate,,
526,31,16,Estimate,,
527,32,0,Estimate,0.04223954286455192,0.004936718102858496
528,32,1,Estimate,0.13214289435362475,0.014610705003374502
529,32,2,Estimate,0.24391871114140395,0.027549314705836193
530,32,3,Estimate,0.3610117261649701,0.04188074433148834
531,32,4,Estimate,0.4504634843775853,0.05693066257719127
532,32,5,Estimate,0.48253826230535823,0.07264396873878866
533,32,6,Estimate,0.4610521472151997,0.08328289878816036
534,32,7,Estimate,0.4182464696998427,0.08609878222009879
535,32,8,Estimate,0.3795309203165873,0.08417435260126249
536,32,9,Estimate,0.34487637445841035,0.07537902202411625
537,32,10,Estimate,0.3160702217810664,0.06381800454962039
538,32,11,Estimate,0.295122071538258,0.05951294705720062
539,32,12,Estimate,0.27513328920944724,0.052458388816109036
540,32,13,Estimate,,
541,32,14,Estimate,,
542,32,15,Estimate,,
543,32,16,Estimate,,
544,33,0,Estimate,0.0412713967119634,0.004814911772522497
545,33,1,Estimate,0.12986597071269124,0.01464639095807898
546,33,2,Estimate,0.23910770175314833,0.027737338527168618
547,33,3,Estimate,0.35217878216898324,0.042292709097466755
548,33,4,Estimate,0.4389139423360048,0.05742643116798596
549,33,5,Estimate,0.4719145543831211,0.0727493032673328
